year,category,percent
2001,Smoke Daily,19.4
2004,Smoke Daily,17.5
2007,Smoke Daily,16.6
2010,Smoke Daily,15.1
2013,Smoke Daily,12.8
2016,Smoke Daily,12.2
2019,Smoke Daily,11
2023,Smoke Daily,8.3
2001,Currently Smoke,23.2
2004,Currently Smoke,20.7
2007,Currently Smoke,19.4
2010,Currently Smoke,18
2013,Currently Smoke,15.8
2016,Currently Smoke,14.9
2019,Currently Smoke,14
2023,Currently Smoke,10.5
2001,Smoked previously,26.2
2004,Smoked previously,26.4
2007,Smoked previously,25.1
2010,Smoked previously,24
2013,Smoked previously,24
2016,Smoked previously,22.8
2019,Smoked previously,22.8
2023,Smoked previously,24.1
2001,Never Smoked,50.6
2004,Never Smoked,52.9
2007,Never Smoked,55.4
2010,Never Smoked,57.9
2013,Never Smoked,60.1
2016,Never Smoked,62.3
2019,Never Smoked,63.1
2023,Never Smoked,65.4
